MUNICIPIO,LOCALIDAD, HABITANTES ,LATITUD,LONGITUD,
PÈnjamo,EstaciÛn PÈnjamo,2615,20.39292,-101.69262,
Ozumba,San Vicente Chimalhuac·n,2616,19.024444,-98.801389,
El MarquÈs,Alfajayucan,2617,20.752778,-100.219167,
Santa Ana Zegache,Santa Ana Zegache,2617,16.83628,-96.72835,
Jaral del Progreso,Santiago Capitiro,2618,20.30298,-101.01838,
Villa Corona,Estipac,2618,20.36096,-103.72592,
Centro,Acachapan y Colmena 1ra. SecciÛn,2619,18.020556,-92.860556,
Celaya,El Becerro (Santos Degollado),2619,20.547049,-100.854153,
Rosales,CongregaciÛn OrtÌz,2620,28.25386,-105.51992,
Zamora,Fraccionamiento Ex-Hacienda el Refugio,2620,19.95162,-102.25681,
Tierra Blanca,JoachÌn,2621,18.639167,-96.233333,
Namiquipa,El Terrero,2621,29.17372,-107.39061,
Hidalgo,San Antonio VillalongÌn,2621,19.53688,-100.75599,
San Antonio Tepetlapa,San Antonio Tepetlapa,2621,16.54211,-98.06584,
Petlalcingo,Petlalcingo,2621,18.08953,-97.92002,
Tlahualilo,El Lucero (Arcinas),2622,25.87921,-103.40264,
GÛmez Palacio,Transporte,2624,25.635556,-103.541667,
Tecomatl·n,Tecomatl·n,2624,18.11363,-98.31246,
EncarnaciÛn de DÌaz,MesÛn de los Sauces,2625,21.57413,-102.14087,
CaÒadas de ObregÛn,CaÒadas de ObregÛn,2625,21.1484,-102.6875,
Santo Domingo Tehuantepec,Morro de Mazat·n,2625,16.10184,-95.37829,
Apozol,Apozol,2626,21.46811,-103.08713,
Tlachichuca,San Francisco Independencia (Santa MarÌa Aserradero),2627,19.068751,-97.430216,
Mazatl·n,El Roble,2627,23.24576,-106.20385,
Lerma,Santa MarÌa Tlalmimilolpan,2628,19.392222,-99.470556,
Ahome,Las Grullas Margen Izquierda,2628,25.854167,-109.327778,
San Luis de la Paz,San Pedro de los Pozos (Mineral de Pozos),2629,21.221972,-100.495656,
Cajeme,CuauhtÈmoc (Campo Cinco),2629,27.43212,-110.01978,
Ixhuac·n de los Reyes,Ixhuac·n de los Reyes,2629,19.35524,-97.11398,
Pinos,Pedregoso,2629,22.24735,-101.75721,
San AgustÌn Tlaxiaca,San Juan Tilcuautla,2630,20.159508,-98.80058,
Ensenada,Santa Fe,2632,30.68036,-115.9739,
Huixquilucan,Paraje el Mirador,2633,19.399444,-99.326944,
Villa Guerrero,Santa MarÌa Aranzaz˙ (Santa MarÌa),2633,18.988333,-99.650556,
Puru·ndiro,Santa Clara,2633,20.179167,-101.434722,
Centro,Emiliano Zapata,2633,17.997222,-92.960833,
San JerÛnimo Tlacochahuaya,MacuilxÛchitl de Artigas Carranza,2633,17.01094,-96.54151,
Yautepec,Oacalco,2634,18.922032,-99.029773,
UniÛn Ju·rez,UniÛn Ju·rez,2635,15.0609,-92.08025,
Pedro Escobedo,Guadalupe SeptiÈn,2635,20.52611,-100.11346,
San Luis PotosÌ,Laguna de Santa Rita,2635,22.11487,-100.84891,
Tepetlaoxtoc,San Pedro Chiautzingo,2636,19.570556,-98.786944,
San Pedro Cholula,San Francisco Coapa,2637,19.06787,-98.36448,
RÌo Grande,Loreto,2637,23.84668,-103.00768,
Morelia,San Nicol·s Obispo,2638,19.651389,-101.315,
Ayotl·n,Santa Rita,2638,20.44342,-102.39004,
Tomatl·n,Campo Acosta,2638,19.77066,-105.25,
Del Nayar,Jes˙s MarÌa,2638,22.25197,-104.51704,
Altotonga,Ahueyahualco,2639,19.72,-97.261944,
Acula,Acula,2639,18.50538,-95.77423,
Tlaola,Chicahuaxtla,2640,20.14393,-97.94525,
Ixtaczoquitl·n,Capoluca,2641,18.806389,-97.027222,
Mexquitic de Carmona,San Marcos (San Marcos Carmona),2641,22.193055,-101.051389,
Chilchota,Zopoco,2642,19.840556,-102.075,
San Lucas Tecopilco,San Lucas Tecopilco,2642,19.48694,-98.25663,
Malinalco,San SimÛn el Alto,2643,18.998333,-99.503333,
Zacapoaxtla,San Juan Tahitic,2644,19.936389,-97.550555,
San Felipe,Jaral de Berrios,2644,21.680994,-101.013875,
Tlatlauquitepec,Xonocuautla,2644,19.79514,-97.51437,
San Pedro Pochutla,Puerto ¡ngel,2645,15.66619,-96.49446,
Sombrerete,Charco Blanco,2645,23.86451,-103.66049,
Chalma,Chalma,2646,21.20873,-98.39453,
Texcaltitl·n,Texcaltitl·n,2648,18.92825,-99.94171,
Santiago Tuxtla,Tlapacoyan,2648,18.45742,-95.40121,
San Mateo Yoloxochitl·n,San Mateo Yoloxochitl·n,2650,18.14253,-96.86747,
Ocampo,Laguna del Rey (QuÌmicas del Rey),2651,27.02984,-103.37051,
Ahome,Poblado N˙mero Cinco,2651,26.22223,-109.06113,
Cosoleacaque,Fraccionamiento los Prados,2652,17.987778,-94.638055,
Isla Mujeres,Zona Urbana Ejido Isla Mujeres,2653,21.224797,-86.853685,
Francisco I. Madero,Hidalgo,2655,25.81777,-103.28303,
Apodaca,Fraccionamiento MisiÛn de San Javier,2655,25.745611,-100.151973,
Zit·cuaro,San Francisco Curungueo,2657,19.465833,-100.343611,
San Blas,Mecat·n,2657,21.53586,-105.11963,
Jilotepec,Ejido de San Lorenzo Octeyuco,2659,19.931389,-99.593056,
Lerma,San Pedro Huitzizilapan,2659,19.403611,-99.475833,
